Contract,Date,pClose,pSettle,Open,High,Low,Close,Settle,UpDown1,UpDown2,Volume,Amount,OpenInterest
p0909,2009-03-10,5230,5246,5649.38046868436,5811.40858920112,5627.77671928212,5770.36146533688,5316,96,70,201366,1070784.84,80200
p0909,2009-03-11,5342,5316,5768.20109039665,5783.32371497822,5664.50309326592,5673.14459302682,5292,-64,-24,133530,706713.57,86360
p0909,2009-03-12,5252,5292,5591.05034529833,5634.2578441028,5567.28622095587,5584.56922047766,5182,-122,-110,100190,519285.56,87150
p0909,2009-03-13,5170,5182,5638.57859398324,5666.66346820615,5547.84284649386,5569.44659589609,5186,-26,4,113712,589893.85,91854
p0909,2009-03-16,5156,5186,5558.64472119498,5645.05971880392,5537.04097179274,5606.17296987989,5188,4,2,110758,574613.17,89750
p0909,2009-03-17,5190,5188,5638.57859398324,5701.22946724972,5638.57859398324,5673.14459302682,5254,64,66,95596,502347.51,91894
p0909,2009-03-18,5252,5254,5694.74834242905,5705.55021713017,5662.3427183257,5664.50309326592,5260,-10,6,99420,523023.4,94462
p0909,2009-03-19,5244,5260,5703.38984218995,5783.32371497822,5696.90871736928,5774.68221521732,5322,86,62,143974,766253.26,103642
p0909,2009-03-20,5346,5322,5800.6067145,5876.21983740783,5779.00296509777,5837.3330884838,5402,82,80,143614,775959.39,115976
p0909,2009-03-23,5404,5402,5917.26696127207,6068.49320708771,5880.54058728827,5995.04045912011,5520,148,118,195138,1077471.89,121872
p0909,2009-03-24,5550,5520,5962.63483501676,6005.84233382123,5848.13496318492,5854.61608800559,5468,-100,-52,101472,554916.87,118262
p0909,2009-03-25,5420,5468,5895.66321186983,5902.1443366905,5796.28596461956,5800.6067145,5412,-98,-56,99466,538498.42,119768
p0909,2009-03-26,5370,5412,5843.81421330447,5966.95558489721,5811.40858920112,5945.35183549498,5464,92,52,192566,1052366.22,132584
p0909,2009-03-27,5504,5464,5934.54996079386,6029.60645816369,5835.17271354358,5863.25758776649,5500,-36,36,203414,1118992.11,125904
p0909,2009-03-30,5428,5500,5833.01233860336,5867.57833764693,5783.32371497822,5813.56896414134,5400,-118,-100,122544,661848.3,120978
p0909,2009-03-31,5382,5400,5811.40858920112,5941.03108561453,5789.80483979889,5908.62546151118,5458,70,58,202000,1102860.59,126242
p0909,2009-04-01,5470,5458,5951.83296031565,6103.05920613129,5951.83296031565,6031.76683310392,5598,126,140,252010,1411082.32,139462
p0909,2009-04-02,5584,5598,6103.05920613129,6157.06857963687,6079.29508178883,6157.06857963687,5660,102,62,240632,1362289.6,150988
p0909,2009-04-03,5700,5660,6254.28545194693,6262.92695170783,6144.10632999553,6178.67232903911,5748,60,88,238780,1372589.13,149440
p0909,2009-04-07,5720,5748,6198.11570350112,6353.66269919721,6161.38932951732,6345.02119943631,5802,126,54,230026,1334725.9,155592
p0909,2009-04-08,5874,5802,6319.09670015364,6319.09670015364,6165.71007939776,6174.35157915866,5776,-86,-26,251690,1453838.04,143288
p0909,2009-04-09,5716,5776,6265.08732664805,6336.37969967542,6245.64395218604,6329.89857485475,5824,84,48,228672,1332167.93,141358
p0909,2009-04-10,5860,5824,6360.14382401788,6476.80407078995,6336.37969967542,6457.36069632794,5944,154,120,227724,1353846.23,146358
p0909,2009-04-13,5978,5944,6448.71919656704,6740.36981349721,6422.79469728436,6651.79444094805,6132,214,188,428478,2627956.41,161520
p0909,2009-04-14,6158,6132,6697.16231469274,6766.29431277989,6617.22844190448,6742.53018843743,6200,110,68,478258,2966042.9,170314
p0909,2009-04-15,6242,6200,6891.59605931285,7021.21855572626,6828.94518604637,7010.41668102514,6402,290,202,379292,2428514.83,176180
p0909,2009-04-16,6490,6402,7010.41668102514,7070.9071793514,6936.96393305754,6962.88843234023,6468,44,66,360848,2334366.16,172500
p0909,2009-04-17,6446,6468,6956.40730751956,6997.45443138381,6783.57731230168,6993.13368150335,6396,6,-72,470686,3011142.78,167266
p0909,2009-04-20,6474,6396,6965.04880728045,7096.83167863408,6934.80355811732,6960.7280574,6494,48,98,544282,3535395.14,164324
p0909,2009-04-21,6444,6494,6783.57731230168,6818.14331134526,6664.75669058939,6664.75669058939,6206,-324,-288,301882,1873554.82,145210
p0909,2009-04-22,6170,6206,6805.18106170391,6906.71868389442,6701.48306457319,6740.36981349721,6306,34,100,485710,3063742.41,148860
p0909,2009-04-23,6240,6306,6779.25656242123,6859.1904352095,6727.40756385587,6844.06781062794,6290,30,-16,629878,3962496.68,153526
p0909,2009-04-24,6336,6290,6913.19980871509,6975.85068198157,6751.17168819833,6755.49243807877,6358,-36,68,604946,3846987.45,151778
p0909,2009-04-27,6254,6358,6697.16231469274,6727.40756385587,6526.49269441509,6526.49269441509,6106,-316,-252,309446,1889855.96,138062
p0909,2009-04-28,6042,6106,6591.30394262179,6628.03031660559,6470.32294596928,6526.49269441509,6046,-64,-60,465378,2813978.98,129960
p0909,2009-04-29,6042,6046,6537.29456911621,6610.7473170838,6450.87957150727,6608.58694214358,6038,72,-8,358680,2166030.27,126080
p0909,2009-04-30,6118,6038,6697.16231469274,6846.22818556816,6673.39819035028,6846.22818556816,6270,300,232,348308,2184438.9,114828
p0909,2009-05-04,6338,6270,7109.79392827543,7109.79392827543,7101.15242851453,7109.79392827543,6580,312,310,10726,70595.25,111410
p0909,2009-05-05,6582,6580,7159.48255190056,7243.73717456928,7133.55805261788,7189.72780106369,6662,76,82,495490,3301577.26,120942
p0909,2009-05-06,6656,6662,7178.92592636258,7373.35967098268,7140.03917743855,7371.19929604246,6710,162,48,566616,3803023.77,139484
p0909,2009-05-07,6824,6710,7453.29354377096,7507.30291727654,7353.91629652068,7362.55779628157,6884,106,174,613114,4220877.83,143786
p0909,2009-05-08,6816,6884,7418.72754472738,7502.98216739609,7332.31254711844,7492.18029269498,6868,52,-16,584244,4013106.09,146924
p0909,2009-05-11,6936,6868,7485.69916787431,7485.69916787431,7276.14279867263,7302.06729795532,6812,-108,-56,496794,3384972.4,133162
p0909,2009-05-12,6760,6812,7388.48229556425,7563.47266572235,7349.59554664023,7531.06704161899,6890,160,78,506134,3487269.6,145712
p0909,2009-05-13,6972,6890,7593.71791488548,7654.20841321174,7520.26516691788,7589.39716500503,7028,136,138,575070,4042018.38,144068
p0909,2009-05-14,7026,7028,7444.65204401006,7453.29354377096,7356.0766714609,7373.35967098268,6850,-202,-178,362264,2481973.03,127662
p0909,2009-05-15,6826,6850,7442.49166906983,7500.82179245587,7334.47292205866,7364.71817122179,6874,-32,24,415888,2858972.99,125108
p0909,2009-05-18,6818,6874,7107.63355333519,7161.64292684079,7055.78455476983,7077.38830417207,6554,-322,-320,195664,1282561.79,103912
p0909,2009-05-19,6552,6554,7200.52967576481,7334.47292205866,7157.32217696034,7308.54842277598,6706,212,152,364316,2443743.46,112198
p0909,2009-05-20,6766,6706,7258.85979915084,7356.0766714609,7237.2560497486,7239.41642468883,6760,-4,54,408708,2763290.85,108174
p0909,2009-05-21,6702,6760,7232.93529986816,7317.18992253688,7189.72780106369,7196.20892588436,6716,-98,-44,301400,2024799.59,101034
p0909,2009-05-22,6662,6716,7183.24667624302,7295.58617313464,7163.80330178101,7230.77492492793,6700,-22,-16,321128,2151772.72,102212
p0909,2009-05-25,6694,6700,7245.8975495095,7271.82204879219,7176.76555142235,7200.52967576481,6672,-34,-28,244646,1632536.44,102988
p0909,2009-05-26,6666,6672,7200.52967576481,7213.49192540615,7036.34118030783,7053.62417982962,6600,-142,-72,286966,1894371.77,100508
p0909,2009-05-27,6530,6600,7129.23730273744,7153.0014270799,7070.9071793514,7111.95430321565,6578,-16,-22,229336,1509030.58,85828
p0909,2009-06-01,6584,6578,7345.27479675978,7518.10479197766,7325.83142229777,7481.37841799386,6862,348,284,163722,1123625.88,68068
p0909,2009-06-02,6926,6862,7589.39716500503,7589.39716500503,7444.65204401006,7459.77466859162,6956,44,94,108318,753595.08,70080
p0909,2009-06-03,6906,6956,7474.89729317319,7505.14254233632,7416.56716978715,7474.89729317319,6906,-36,-50,101282,699578.08,68606
p0909,2009-06-04,6920,6906,7178.92592636258,7336.63329699889,7178.92592636258,7334.47292205866,6756,-116,-150,75282,508645.5,70156
p0909,2009-06-05,6790,6756,7442.49166906983,7492.18029269498,7377.68042086313,7388.48229556425,6882,84,126,49574,341244.5,68196
p0909,2009-06-08,6840,6882,7353.91629652068,7399.28417026537,7282.6239234933,7289.10504831397,6808,-134,-74,41608,283267.27,65114
p1001,2009-06-09,6520,6570,7340.53124957508,7353.94678033885,7237.67884705286,7311.46426625358,6520,-30,-50,187448,1222366.2,69550
p1001,2009-06-10,6540,6520,7342.76717136904,7356.18270213281,7172.83711502798,7222.02739449513,6484,-60,-36,268262,1739811.93,90382
p1001,2009-06-11,6460,6484,7188.48856758571,7257.80214319852,7121.41091376687,7206.3759419374,6430,-38,-54,264726,1702346.06,91358
p1001,2009-06-12,6446,6430,7222.02739449513,7242.15069064078,7078.9283996816,7101.28761762122,6416,-78,-14,206172,1322954.82,100378
p1001,2009-06-15,6352,6416,7020.79443303861,7020.79443303861,6904.52649975262,6976.07599715939,6232,-176,-184,306630,1911245.98,123892
