Date,Open,High,Low,Close,Adj Close,Volume
2004-01-02,111.73999786377,112.190002441406,110.730003356934,111.230003356934,77.0188598632813,38072300
2004-01-05,111.690002441406,112.519996643066,111.589996337891,112.440002441406,77.8566970825195,27959800
2004-01-06,112.160003662109,112.730003356934,112,112.550003051758,77.932861328125,20472800
2004-01-07,112.389999389648,113.059997558594,111.889999389648,112.930000305176,78.195930480957,30170400
2004-01-08,113.25,113.410003662109,112.769996643066,113.379997253418,78.507568359375,36438400
2004-01-09,112.830001831055,113.5,112.269996643066,112.389999389648,77.8220520019531,54084300
2004-01-12,112.550003051758,113.25,112.360000610352,113.220001220703,78.3967666625977,31564100
2004-01-13,113.089996337891,113.230003356934,111.76000213623,112.559997558594,77.9397583007813,54239700
2004-01-14,112.76000213623,113.660003662109,112.669998168945,113.5,78.5906295776367,30112800
2004-01-15,113.569999694824,114.059997558594,112.580001831055,113.779998779297,78.7845458984375,38408700
2004-01-16,114.040000915527,114.309997558594,113.629997253418,114.230003356934,79.0961380004883,31922700
2004-01-20,114.529998779297,114.650001525879,113.819999694824,114.199996948242,79.075309753418,29863000
2004-01-21,114.129997253418,115.300003051758,113.720001220703,115.099998474121,79.6985321044922,30725000
2004-01-22,115.139999389648,115.379997253418,114.580001831055,114.800003051758,79.4907989501953,29888500
2004-01-23,115,115.370002746582,113.949996948242,114.430000305176,79.2345962524414,44245300
2004-01-26,114.389999389648,115.930000305176,114.379997253418,115.870002746582,80.2316818237305,30460600
2004-01-27,115.75,116.5,114.650001525879,114.680000305176,79.4077072143555,35322800
2004-01-28,114.980003356934,115.279998779297,112.940002441406,113.370002746582,78.5006408691406,52621300
2004-01-29,113.559997558594,113.849998474121,112.559997558594,113.480003356934,78.5768051147461,60117100
2004-01-30,113.519996643066,113.720001220703,113.089996337891,113.480003356934,78.5768051147461,30984400
2004-02-02,113.699996948242,114.680000305176,113.120002746582,113.970001220703,78.9160842895508,38832400
2004-02-03,113.73999786377,114.139999389648,113.440002441406,113.779998779297,78.7845458984375,25093500
2004-02-04,113.190002441406,113.730003356934,112.790000915527,112.849998474121,78.1405944824219,39332600
2004-02-05,113.169998168945,113.540000915527,112.779998779297,113.180000305176,78.3690795898437,37226800
2004-02-06,113.419998168945,114.699996948242,113.199996948242,114.449996948242,79.2484359741211,37216000
2004-02-09,114.669998168945,114.870002746582,114.290000915527,114.480003356934,79.2692184448242,24851300
2004-02-10,114.279998779297,115.139999389648,114.26000213623,114.849998474121,79.5254135131836,27908100
2004-02-11,114.849998474121,116.389999389648,114.169998168945,116.069999694824,80.3702087402344,42965700
2004-02-12,115.970001220703,116.269996643066,115.580001831055,115.650001525879,80.0793914794922,27814700
2004-02-13,115.819999694824,116.199996948242,114.75,115.129997253418,79.7193222045898,44739900
2004-02-17,115.849998474121,116.430000305176,115.769996643066,116.169998168945,80.4394454956055,23984300
2004-02-18,116.199996948242,116.599998474121,115.349998474121,115.660003662109,80.086296081543,28618000
2004-02-19,116.330001831055,116.389999389648,115.059997558594,115.230003356934,79.7885360717774,51146200
2004-02-20,115.480003356934,115.559997558594,114.319999694824,114.879997253418,79.5462036132813,46728800
2004-02-23,115.220001220703,115.26000213623,114.169998168945,114.589996337891,79.3453826904297,36357000
2004-02-24,114.269996643066,114.98999786377,113.029998779297,114.389999389648,79.2068862915039,43953000
2004-02-25,114.459999084473,115.059997558594,114.319999694824,114.870002746582,79.5392837524414,31213600
2004-02-26,114.610000610352,115.290000915527,114.339996337891,114.940002441406,79.5877227783203,29683000
2004-02-27,115.190002441406,115.73999786377,114.629997253418,115.019996643066,79.6431350708008,39312000
2004-03-01,115.430000305176,116.339996337891,115.25,116.160003662109,80.432502746582,33130800
2004-03-02,115.940002441406,116.970001220703,115.230003356934,115.480003356934,79.9616546630859,38556400
2004-03-03,115.25,115.870002746582,114.919998168945,115.690002441406,80.1070556640625,31346200
2004-03-04,115.720001220703,116.099998474121,115.519996643066,115.98999786377,80.3147659301758,21060000
2004-03-05,115.419998168945,116.949996948242,115.279998779297,116.379997253418,80.5848236083984,55905600
2004-03-08,116.339996337891,116.620002746582,114.910003662109,114.959999084473,79.6015701293945,39281600
2004-03-09,115.099998474121,115.209999084473,114.23999786377,114.5,79.2830505371094,39746100
2004-03-10,114.720001220703,114.769996643066,112.559997558594,112.580001831055,77.9536437988281,67671800
2004-03-11,112.400001525879,113.269996643066,111.099998474121,111.120002746582,76.9426498413086,89134800
2004-03-12,111.730003356934,112.709999084473,111.580001831055,112.580001831055,77.9536437988281,54012200
2004-03-15,112.269996643066,112.349998474121,110.900001525879,111.199996948242,76.998046875,57677200
